Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
122872/211440;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;183.5;166.56;90.77;95
122872/211441;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;183.5;166.56;90.77;95
122872/211442;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;183.5;166.56;90.77;95
98995/211434;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;40.29;23.35;57.95;60
98995/211435;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;40.29;23.35;57.95;60
98995/211436;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;40.29;23.35;57.95;60
98995/211437;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";24.2;40.5;16.3;40.25;45
98995/211438;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";24.2;40.5;16.3;40.25;45
98995/211439;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;40.29;23.35;57.95;60
98995/211440;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;40.29;23.35;57.95;60
98995/211441;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;40.29;23.35;57.95;60
98995/211442;"Háèek na háèkování se silikonovou rukojetí vel. 2; 2,5; 3; 3,5; 4; 4,5; 5; 5,5; 6";16.94;40.29;23.35;57.95;60
99344/211595;Dutá jehla / vyšívací pero - sada na vyšívání;143.14;241.71;98.57;40.78;45
99344/211733;Dutá jehla / vyšívací pero - sada na vyšívání;143.14;241.71;98.57;40.78;45
99345/211595;Dutá jehla / vyšívací pero - sada na vyšívání;143.14;525.72;382.58;72.77;75
99345/211733;Dutá jehla / vyšívací pero - sada na vyšívání;143.14;525.72;382.58;72.77;75
109675/217684;Sada háèikov so silikónovou rukoväou a pomôcok na háèkovanie v puzdre;318.47;481.67;163.2;33.88;35
109676/217684;Sada háèikov so silikónovou rukoväou a pomôcok na háèkovanie v puzdre;318.47;770.68;452.21;58.68;60
